Source,Rate category,Updated Parish,Month,Sum of Budget
Postpaid,RT50,St. Thomas,Dec-26,262653
Postpaid,RT50,Trelawny,Apr-26,1604787
Postpaid,RT50,Trelawny,May-26,1844139
Postpaid,RT50,Trelawny,Jun-26,1968522
Postpaid,RT50,Trelawny,Jul-26,2038762
Postpaid,RT50,Trelawny,Aug-26,2109042
Postpaid,RT50,Trelawny,Sept-26,2119713
Postpaid,RT50,Trelawny,Oct-26,2029649
Postpaid,RT50,Trelawny,Nov-26,1992490
Postpaid,RT50,Trelawny,Dec-26,2096240
Postpaid,RT50,Westmoreland,Apr-26,2601917
Postpaid,RT50,Westmoreland,May-26,3363736
Postpaid,RT50,Westmoreland,Jun-26,3590613
Postpaid,RT50,Westmoreland,Jul-26,3718732
Postpaid,RT50,Westmoreland,Aug-26,3846923
Postpaid,RT50,Westmoreland,Sept-26,3866389
Postpaid,RT50,Westmoreland,Oct-26,3702110
Postpaid,RT50,Westmoreland,Nov-26,3634331
Postpaid,RT50,Westmoreland,Dec-26,3823572
Postpaid,RT60-ST,Clarendon,Apr-26,181496
Postpaid,RT60-ST,Clarendon,May-26,181487
Postpaid,RT60-ST,Clarendon,Jun-26,183555
Postpaid,RT60-ST,Clarendon,Jul-26,184392
Postpaid,RT60-ST,Clarendon,Aug-26,193551
